match_date,top_1,top_1_elo,top_2,top_2_elo,top_3,top_3_elo,top_4,top_4_elo,top_5,top_5_elo
2016-12-18,HELLRAISERS,1516.0,CLOUD9,1484.0,,,,,,
2016-12-18,HELLRAISERS,1516.0,G2,1516.0,CLOUD9,1484.0,IMMORTALS,1484.0,,
2016-12-18,HELLRAISERS,1516.0,G2,1516.0,MOUSESPORTS,1515.263693206478,CLOUD9,1484.0,IMMORTALS,1484.0
2016-12-18,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0,G2,1516.0,MOUSESPORTS,1515.263693206478,CLOUD9,1484.0
2016-12-18,DIGNITAS,1516.736306793522,OPTIC,1516.736306793522,HELLRAISERS,1516.0,G2,1516.0,MOUSESPORTS,1515.263693206478
2016-12-17,DIGNITAS,1516.736306793522,OPTIC,1516.736306793522,HELLRAISERS,1516.0,G2,1516.0,MOUSESPORTS,1515.263693206478
2016-12-17,OPTIC,1531.9661669788793,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0,G2,1516.0,MOUSESPORTS,1515.263693206478
2016-12-17,OPTIC,1531.9661669788793,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0,G2,1516.0,MOUSESPORTS,1515.263693206478
2016-12-17,OPTIC,1531.9661669788793,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0,G2,1516.0,GODSENT,1515.9660918698307
2016-12-16,OPTIC,1531.9661669788793,FAZE,1531.3648511881734,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0,G2,1516.0
2016-12-16,GODSENT,1532.00156151976,OPTIC,1531.9661669788793,FAZE,1531.3648511881734,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0
2016-12-16,GODSENT,1532.00156151976,OPTIC,1531.9661669788793,FAZE,1531.3648511881734,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0
2016-12-16,GODSENT,1532.00156151976,OPTIC,1531.9661669788793,FAZE,1531.3648511881734,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0
2016-12-15,GODSENT,1547.2329078770035,OPTIC,1531.9661669788793,FAZE,1531.3648511881734,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0
2016-12-15,GODSENT,1547.2329078770035,OPTIC,1531.9661669788793,FAZE,1531.3648511881734,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0970460767242
2016-12-15,GODSENT,1547.2329078770035,OPTIC,1531.9661669788793,FAZE,1531.3648511881734,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0970460767242
2016-12-15,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1531.9661669788793,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0970460767242
2016-12-15,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1531.9661669788793,DIGNITAS,1516.736306793522,HELLRAISERS,1516.0970460767242
2016-12-12,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1531.9661669788793,DIGNITAS,1516.736306793522,ASTRALIS,1516.6979512448374
2016-12-11,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1531.9661669788793,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-11,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1531.9661669788793,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-11,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1531.9661669788793,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-11,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1531.9661669788793,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-10,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1531.9661669788793,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-10,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1544.4845275454245,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-10,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1544.4845275454245,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-10,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1544.4845275454245,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-09,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1544.4845275454245,ASTRALIS,1531.9295736854915,DIGNITAS,1516.736306793522
2016-12-09,ASTRALIS,1547.7691057794575,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1544.4845275454245,DIGNITAS,1516.736306793522
2016-12-09,ASTRALIS,1547.7691057794575,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1544.4845275454245,DIGNITAS,1516.736306793522
2016-12-09,ASTRALIS,1563.6178498679708,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1544.4845275454245,DIGNITAS,1516.736306793522
2016-12-04,ASTRALIS,1563.6178498679708,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,OPTIC,1544.4845275454245,DIGNITAS,1516.736306793522
2016-12-03,ASTRALIS,1563.6178498679708,GODSENT,1547.2329078770035,OPTIC,1546.241345209207,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-12-03,ASTRALIS,1563.6178498679708,OPTIC,1561.3447635866369,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-12-02,ASTRALIS,1563.6178498679708,OPTIC,1561.3447635866369,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-12-01,ASTRALIS,1563.6178498679708,OPTIC,1561.3447635866369,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-12-01,OPTIC,1574.4832401558797,ASTRALIS,1563.6178498679708,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-30,OPTIC,1574.4832401558797,ASTRALIS,1572.4322676027643,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-30,OPTIC,1574.4832401558797,ASTRALIS,1572.4322676027643,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-27,OPTIC,1574.4832401558797,ASTRALIS,1572.4322676027643,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-27,OPTIC,1574.4832401558797,ASTRALIS,1572.4322676027643,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-27,OPTIC,1574.4832401558797,ASTRALIS,1572.4322676027643,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-27,OPTIC,1574.4832401558797,ASTRALIS,1572.4322676027643,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-27,ASTRALIS,1587.273824834826,OPTIC,1574.4832401558797,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-27,ASTRALIS,1600.7672079076672,OPTIC,1574.4832401558797,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
2016-11-26,ASTRALIS,1600.7672079076672,OPTIC,1574.4832401558797,GODSENT,1547.2329078770035,FAZE,1545.9579971557428,DIGNITAS,1516.736306793522
